the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2019,9,,,1,5,1,09/01/19 through 10/05/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,9999
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2019,31,,,1,5,1,03/03/19 through 03/30/19,2019 period corresponding to 2020 and 2019 beginning to end of month,1,"Boston Metro, MA (Blue Bikes)",,,2
POINT (-82.9987942 39.9611755),58,72648.6,1897,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2020,41,,,1,8,0,03/29/20 through 05/02/20,2020 period corresponding to 2020 and 2019 beginning to end of month,1,"Columbus, OH (CoGo)",,,1
POINT (-118.2436849 34.0522342),73,349229,14817,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2021,1,0.009349910804489,1,1,9,1,12/30/20 through 01/30/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",-0.500320372306343,-3,1
POINT (-71.0588801 42.3600825),1,6370078.783333312,402489,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,10,0.076751044271784,3,1,5,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",0.070688664488875,1,1
POINT (-79.9849659685496 40.4454577489795),29,0,0,40.4454577489795,-79.9849659685496,"Healthy Ride, now POGOH (Pittsburgh, PA)",2020,11,,,0,11,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,9999
POINT (-77.0368707 38.9071923),56,0,0,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2019,31,,,0,3,1,03/03/19 through 03/30/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",,,9999
POINT (-122.410143 37.773833),42,2025140.5666666664,99652,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2020,41,,,1,2,1,03/29/20 through 05/02/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",,,1
POINT (-74.039894 40.724851),9999,1145673.083333332,80548,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2021,8,0.018693744762198,1,1,6,1,08/01/21 through 08/28/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",1.1279158851346,4,1
POINT (-122.410143 37.773833),42,399109.53333333373,29182,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2022,10,0.37868210012717,4,1,2,1,12/29/21 through 01/29/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.23209304773433,-1,9999
POINT (-74.039894 40.724851),9999,279645.9166666665,29724,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2022,2,0.016390125120552,1,1,6,1,01/30/22 through 02/26/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",5.321565291365377,4,1
POINT (-75.1652215 39.9525839),43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2022,2,,,0,7,1,01/30/22 through 02/26/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,9999
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2022,4,,,1,9,1,03/27/22 through 04/30/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,2
